,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1269,1270,8,3,78.0,11344,1,0,3,3,0,4,0,12,1,2,0,0,5,4,1958,1958,1,1,8,8,2,180.0,3,4,1,4,4,4,2,460,6,0,414,874,2,4,1,1,874,650,0,1524,0,0,1,1,3,1,3,7,6,0,,2,1958.0,Unf,1,315,5,5,2,0,0,0,0,0,0,,2,0,0,7,2007,8,4,144000
722,723,4,3,70.0,8120,1,0,3,3,0,4,0,12,2,2,0,2,4,6,1970,1970,1,1,8,8,3,0.0,3,2,1,4,4,4,1,191,6,0,673,864,1,0,1,5,864,0,0,864,0,0,1,0,3,1,3,5,6,0,,6,1994.0,Unf,2,463,5,5,2,0,0,0,0,0,0,,0,0,0,7,2009,8,4,124500
742,743,4,3,65.0,8450,1,0,3,3,0,4,0,20,2,2,0,2,7,4,2000,2001,1,1,12,13,2,108.0,3,4,2,3,4,4,6,0,6,0,1349,1349,1,0,1,5,1349,0,0,1349,0,0,2,0,3,1,3,6,6,0,,2,2000.0,Unf,2,539,5,5,2,120,55,0,0,0,0,,1,0,0,12,2007,8,4,179000
253,254,12,3,85.0,9350,1,0,3,3,0,4,0,12,2,2,0,7,6,6,1964,1991,3,1,6,6,2,108.0,3,4,1,3,4,2,4,270,1,109,452,1302,1,0,1,5,1302,0,0,1302,0,1,2,0,3,1,2,7,2,0,,2,1964.0,RFn,1,309,5,5,2,333,0,0,0,0,0,,3,0,0,10,2007,1,4,158000
262,263,12,3,88.0,8471,1,0,0,3,0,0,0,19,2,2,0,7,6,6,1977,1995,1,1,6,10,2,46.0,3,4,1,3,2,1,1,506,6,0,0,506,1,4,1,5,1212,0,0,1212,1,0,1,0,3,1,3,6,6,1,TA,2,1978.0,Unf,2,492,5,5,2,292,12,0,0,0,0,,2,0,0,7,2006,8,4,151000
1072,1073,8,3,50.0,7585,1,0,3,3,0,4,0,7,0,2,0,0,5,2,1948,1950,1,1,8,8,3,0.0,3,4,1,2,1,3,6,0,6,0,810,810,1,1,1,1,1002,454,0,1456,1,1,1,0,4,1,3,7,6,1,TA,6,1954.0,Unf,1,280,5,5,1,0,0,0,0,0,0,,0,0,0,8,2006,8,4,91500
164,165,6,4,40.0,5400,1,2,3,3,0,0,0,17,2,2,0,2,6,6,1926,2004,1,1,8,8,3,0.0,3,2,0,4,4,3,4,370,6,0,779,1149,1,2,1,1,1149,467,0,1616,0,0,2,0,3,1,2,5,6,0,,6,1926.0,Unf,1,216,5,5,2,0,0,183,0,0,0,,0,0,0,10,2007,8,4,152000
875,876,9,1,75.0,9000,1,0,3,3,0,4,0,21,2,2,0,5,8,4,2007,2007,1,1,5,5,3,0.0,2,4,2,3,4,1,3,64,6,0,1120,1184,1,0,1,5,1184,1426,0,2610,0,0,2,1,4,1,0,11,6,1,Gd,4,2007.0,Fin,2,550,5,5,2,208,364,0,0,0,0,,0,0,0,8,2007,6,5,303477
1069,1070,7,3,60.0,9600,1,0,3,3,0,4,0,12,2,2,0,1,5,6,1949,2003,1,1,8,8,3,0.0,3,4,1,4,4,4,1,220,6,0,625,845,1,4,1,5,893,0,0,893,0,1,1,0,2,1,2,4,6,0,,6,1985.0,Unf,2,576,5,5,2,0,0,0,0,0,0,,0,0,0,5,2007,8,4,135000
51,52,8,4,52.0,6240,1,0,3,3,0,4,0,3,2,2,0,0,6,5,1934,1950,1,1,13,14,3,0.0,3,4,2,4,4,4,6,0,6,0,816,816,1,4,1,5,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,Gd,6,1985.0,Unf,2,528,5,5,2,112,0,0,0,0,0,,3,3,400,9,2006,8,4,114500
1112,1113,4,3,73.0,7100,1,0,0,3,0,0,0,12,2,2,0,2,5,6,1957,1957,1,1,14,15,3,0.0,3,4,1,4,4,4,3,708,6,0,108,816,1,4,1,1,816,0,0,816,1,0,1,0,2,1,3,5,6,0,,6,1957.0,Unf,1,308,5,5,2,0,0,0,0,0,0,,0,0,0,7,2006,8,4,129900
968,969,8,4,50.0,5925,1,0,3,3,0,4,0,17,2,2,0,0,3,5,1910,1950,1,1,12,13,3,0.0,3,4,0,4,4,4,6,0,6,0,600,600,3,1,0,5,600,368,0,968,0,0,1,0,2,1,3,6,6,0,,0,,,0,0,0,0,2,0,0,0,0,0,0,,2,0,0,5,2009,8,0,37900
769,770,9,3,47.0,53504,1,0,1,1,0,1,1,22,2,2,0,5,8,4,2003,2003,3,1,5,15,2,603.0,0,4,2,3,4,2,1,1416,6,0,234,1650,1,0,1,5,1690,1589,0,3279,1,0,3,1,4,1,0,12,4,1,Gd,4,2003.0,Fin,3,841,5,5,2,503,36,0,0,210,0,,0,0,0,6,2010,8,4,538000
188,189,14,3,64.0,7018,1,0,3,0,0,4,0,20,1,2,2,6,5,4,1979,1979,1,1,9,10,4,275.0,3,4,1,3,4,1,3,1086,6,0,0,1086,1,4,1,5,1224,0,0,1224,2,0,0,2,2,2,3,6,6,2,TA,6,1979.0,Unf,2,528,5,5,2,120,0,0,0,0,0,,0,0,0,6,2009,8,2,153337
1276,1277,9,3,69.0,12936,1,0,0,3,0,1,0,14,2,2,0,5,6,5,1972,1972,1,1,6,10,3,0.0,3,4,1,4,2,4,2,593,6,0,130,723,1,4,1,5,735,660,0,1395,0,1,1,1,3,1,3,6,6,1,TA,2,1972.0,Unf,2,497,5,5,2,294,116,0,0,0,0,,0,0,0,12,2009,8,4,162000
